id;title;subtitle;keywords;description;rating;image;image_content_type;date_added;date_modified
1;Car Industrial deliverables;orange Books;magenta monitor 1080p;Unbranded Plastic Tuna Frozen;86310;../fake-data/blob/hipster.png;image/png;2019-10-04;2019-10-05
2;archive Fantastic Plastic Chicken;payment;withdrawal COM;embrace Developer;84891;../fake-data/blob/hipster.png;image/png;2019-10-04;2019-10-04
3;Robust Networked;Poland;Small partnerships;Outdoors;63641;../fake-data/blob/hipster.png;image/png;2019-10-05;2019-10-05
4;Buckinghamshire Corporate;Investment Account;override User-centric;Money Market Account;69478;../fake-data/blob/hipster.png;image/png;2019-10-05;2019-10-04
5;Auto Loan Account modular Refined;digital maroon;EXE projection Fresh;support Gorgeous;22793;../fake-data/blob/hipster.png;image/png;2019-10-05;2019-10-05
6;copying;ability Hat Iraq;magenta Concrete;User-centric Gloves;21876;../fake-data/blob/hipster.png;image/png;2019-10-05;2019-10-05
7;facilitate Tasty Concrete Chips Exclusive;Buckinghamshire capability zero tolerance;mission-critical;Berkshire Small Plastic Pants Investor;23956;../fake-data/blob/hipster.png;image/png;2019-10-05;2019-10-05
8;Berkshire Designer;Credit Card Account;navigate;Re-contextualized;80313;../fake-data/blob/hipster.png;image/png;2019-10-05;2019-10-05
9;Orchestrator deliver;Licensed hacking installation;Argentine Peso;Kentucky Algerian Dinar Clothing;51209;../fake-data/blob/hipster.png;image/png;2019-10-04;2019-10-05
10;deposit Sausages;disintermediate Cambridgeshire hacking;bricks-and-clicks Concrete Global;Fiji Dollar Profound Bacon;98216;../fake-data/blob/hipster.png;image/png;2019-10-05;2019-10-05
